,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
0,205/3/2022-10-26 09:25:19.093446-0.jpg,261.929955,486.45822,717.3396000000001,474.243825,1
1,205/3/2022-10-26 09:25:19.109982-1.jpg,263.027925,484.16777,716.974745,475.912795,1
2,205/3/2022-10-26 09:25:19.117627-2.jpg,260.942335,486.2124950000001,716.44006,476.31567,1
3,205/3/2022-10-26 09:25:19.125492-3.jpg,260.942335,486.2124950000001,716.44006,476.31567,0
4,205/3/2022-10-26 09:25:19.130454-4.jpg,305.970195,468.22315,767.193905,472.179875,1
5,205/3/2022-10-26 09:25:19.134530-5.jpg,305.41139,466.54143,767.681855,472.413235,1
6,205/3/2022-10-26 09:25:19.138549-6.jpg,302.408875,466.41849,766.40741,472.16631,1
7,205/3/2022-10-26 09:25:19.144417-7.jpg,303.61953,466.25199,765.1295700000001,471.99027,1
8,205/3/2022-10-26 09:25:19.148553-8.jpg,300.71314,464.77251,764.3178499999999,472.39326000000005,1
9,205/3/2022-10-26 09:25:19.151325-9.jpg,306.35619,464.84735,769.61048,473.42093,1
10,205/3/2022-10-26 09:25:19.154992-10.jpg,297.59722,466.01224,766.4118100000001,473.26946,1
11,205/3/2022-10-26 09:25:19.161407-11.jpg,302.77149000000003,463.585055,766.387315,472.08977,1
12,205/3/2022-10-26 09:25:19.167728-12.jpg,301.8604,463.09259,766.18943,471.58501,1
13,205/3/2022-10-26 09:25:19.174288-13.jpg,301.641035,469.30194,764.95805,475.65899,1
14,205/3/2022-10-26 09:25:19.183025-14.jpg,297.12167,466.16854,767.47803,473.80061,1
15,205/3/2022-10-26 09:25:19.187747-15.jpg,309.535165,466.787835,764.19053,473.0437,1
16,205/3/2022-10-26 09:25:19.192816-16.jpg,301.941195,465.04799,763.0201999999999,470.012695,1
17,205/3/2022-10-26 09:25:19.198889-17.jpg,302.42272,468.1612,762.708965,469.92742,1
18,205/3/2022-10-26 09:25:19.205166-18.jpg,301.94602,466.705655,764.3401,472.096025,1
19,205/3/2022-10-26 09:25:19.211365-19.jpg,304.88118,464.94902,761.43179,473.765,1
20,205/3/2022-10-26 09:25:19.217627-20.jpg,300.603435,463.22212500000006,760.1229,471.955665,1
21,205/3/2022-10-26 09:25:19.224020-21.jpg,304.039695,467.26992,759.7716750000001,470.2739,1
22,205/3/2022-10-26 09:25:19.230126-22.jpg,295.500025,464.82618,762.2872,473.04798000000005,1
23,205/3/2022-10-26 09:25:19.236391-23.jpg,303.549985,463.209395,764.09223,472.18498,1
24,205/3/2022-10-26 09:25:19.242839-24.jpg,298.93953,463.65935,759.5390299999999,471.194135,1
25,205/3/2022-10-26 09:25:19.248867-25.jpg,301.85123000000004,460.55669,762.343385,471.30474,1
26,205/3/2022-10-26 09:25:19.255204-26.jpg,296.158245,460.92195,757.63499,471.870115,1
27,205/3/2022-10-26 09:25:19.263398-27.jpg,298.974845,461.198565,758.68286,468.88719,1
28,205/3/2022-10-26 09:25:19.269649-28.jpg,299.422195,465.912885,760.5543399999999,471.89302,1
29,205/3/2022-10-26 09:25:19.275854-29.jpg,296.69062,462.81761,761.71133,469.618695,1
30,205/3/2022-10-26 09:25:19.280515-30.jpg,300.371905,466.284465,759.955355,471.62602,1
