,filename,abs_lx,abs_ly,abs_rx,abs_ry,open_eyes
0,209/0/2022-10-31 13:01:35.895114-0.jpg,349.768595,511.15796,760.0897449999999,551.13496,1
1,209/0/2022-10-31 13:01:35.909242-1.jpg,354.42874,513.85037,767.2091899999999,551.2106249999999,1
2,209/0/2022-10-31 13:01:35.921217-2.jpg,352.85079,512.472835,760.8087800000001,551.82415,1
3,209/0/2022-10-31 13:01:35.928146-3.jpg,352.228075,515.7755099999999,764.19562,548.69166,1
4,209/0/2022-10-31 13:01:35.933048-4.jpg,351.700115,512.3521300000001,763.0287900000001,549.146365,1
5,209/0/2022-10-31 13:01:35.939403-5.jpg,345.967975,513.723445,766.1114299999999,548.43848,1
6,209/0/2022-10-31 13:01:35.943731-6.jpg,354.327855,516.15079,764.7085099999999,550.61922,1
7,209/0/2022-10-31 13:01:35.947497-7.jpg,349.23365,511.05833500000006,764.3519650000001,549.33496,1
8,209/0/2022-10-31 13:01:35.951922-8.jpg,359.142435,510.19422,764.36032,549.6714,1
9,209/0/2022-10-31 13:01:35.957994-9.jpg,355.66032,511.83627,764.544485,550.9909299999999,1
10,209/0/2022-10-31 13:01:35.962024-10.jpg,351.47328,511.96997,767.776785,548.98791,1
11,209/0/2022-10-31 13:01:35.965348-11.jpg,366.652305,506.752315,777.1246649999999,540.56348,1
12,209/0/2022-10-31 13:01:35.969713-12.jpg,364.945935,506.88713,776.13636,540.826205,1
13,209/0/2022-10-31 13:01:35.974394-13.jpg,363.20337,505.09263,776.80807,540.55538,1
14,209/0/2022-10-31 13:01:35.978006-14.jpg,367.89515,506.39627,776.859005,542.441555,1
15,209/0/2022-10-31 13:01:35.981463-15.jpg,369.194625,505.39414,773.234675,543.12579,1
16,209/0/2022-10-31 13:01:35.986546-16.jpg,369.194625,505.39414,773.234675,543.12579,0
17,209/0/2022-10-31 13:01:35.992406-17.jpg,361.90941,502.677975,781.611015,541.432495,1
18,209/0/2022-10-31 13:01:35.995620-18.jpg,363.782435,505.42307,773.6356850000001,543.928095,1
19,209/0/2022-10-31 13:01:35.998881-19.jpg,364.70989,508.174675,777.3676800000001,539.262645,1
20,209/0/2022-10-31 13:01:36.003176-20.jpg,364.70989,508.174675,777.3676800000001,539.262645,0
21,209/0/2022-10-31 13:01:36.007493-21.jpg,361.976825,506.328125,775.91242,539.683675,1
22,209/0/2022-10-31 13:01:36.010650-22.jpg,365.391745,507.76752,773.70826,540.710785,1
23,209/0/2022-10-31 13:01:36.013583-23.jpg,365.88374,506.31015,781.40845,540.909765,1
24,209/0/2022-10-31 13:01:36.016627-24.jpg,361.965765,505.86981,776.939685,542.683,1
25,209/0/2022-10-31 13:01:36.021406-25.jpg,361.965765,505.86981,776.939685,542.683,0
26,209/0/2022-10-31 13:01:36.025958-26.jpg,364.20581,505.70293,776.10064,542.503265,1
27,209/0/2022-10-31 13:01:36.029283-27.jpg,367.81272500000006,506.43109,777.27207,542.510485,1
28,209/0/2022-10-31 13:01:36.033655-28.jpg,366.90518,503.185265,780.5571299999999,541.381115,1
29,209/0/2022-10-31 13:01:36.037862-29.jpg,365.983495,506.77807,778.33448,539.86205,1
30,209/0/2022-10-31 13:01:36.041013-30.jpg,365.57667,504.985035,775.70963,539.31794,1
31,209/0/2022-10-31 13:01:36.045472-31.jpg,362.22723,504.575475,779.213,539.3387250000001,1
32,209/0/2022-10-31 13:01:36.051541-32.jpg,361.106325,507.51675,777.45982,540.152025,1
