file,pid,label,length
001_0.csv,001,0,748.46075
001_2.csv,001,1,459.26514
003_0.csv,003,0,1122.5723
006_0.csv,006,0,908.98083
006_2.csv,006,1,964.891
008_0.csv,008,0,720.30975
008_2.csv,008,1,708.46515
009_0.csv,009,0,1017.59625
009_2.csv,009,1,898.7283
011_0.csv,011,0,472.79428
011_2.csv,011,1,548.39124
013_2.csv,013,1,1151.151
015_0.csv,015,0,811.2574
015_2.csv,015,1,672.29236
016_0.csv,016,0,1223.4111
016_2.csv,016,1,879.60626
017_0.csv,017,0,790.07214
017_2.csv,017,1,1152.4314
019_0.csv,019,0,519.599
019_2.csv,019,1,465.50067
020_0.csv,020,0,1009.6435
020_2.csv,020,1,665.2427
021_0.csv,021,0,513.0086
021_2.csv,021,1,633.78674
024_0.csv,024,0,539.9005
024_2.csv,024,1,651.1483
025_0.csv,025,0,681.5834
025_2.csv,025,1,627.7622
026_0.csv,026,0,769.3054
026_2.csv,026,1,800.63574
027_0.csv,027,0,261.8169
027_2.csv,027,1,385.12823
028_0.csv,028,0,1193.5349
028_2.csv,028,1,732.61255
029_0.csv,029,0,939.04736
031_0.csv,031,0,445.57925
031_2.csv,031,1,635.5755
032_0.csv,032,0,845.07275
032_2.csv,032,1,733.66125
033_0.csv,033,0,619.9874
033_2.csv,033,1,733.2816
034_2.csv,034,1,795.36523
036_0.csv,036,0,420.2863
036_2.csv,036,1,568.25244
037_0.csv,037,0,855.3806
037_2.csv,037,1,895.6514
038_2.csv,038,1,610.8838
039_0.csv,039,0,600.8013
039_2.csv,039,1,783.70886
040_0.csv,040,0,607.1769
040_2.csv,040,1,1057.6101
041_0.csv,041,0,1304.6454
041_2.csv,041,1,776.33386
042_0.csv,042,0,410.54575
042_2.csv,042,1,589.79315
043_0.csv,043,0,852.1149
043_2.csv,043,1,721.3398
047_0.csv,047,0,790.65894
047_2.csv,047,1,741.91797
048_2.csv,048,1,677.5686
049_0.csv,049,0,1194.156
049_2.csv,049,1,608.4407
050_0.csv,050,0,644.6815
050_2.csv,050,1,640.8204
051_0.csv,051,0,767.79047
051_2.csv,051,1,911.0077
052_0.csv,052,0,569.79865
052_2.csv,052,1,679.67487
053_0.csv,053,0,915.8452
054_0.csv,054,0,706.9883
054_2.csv,054,1,349.2665
056_0.csv,056,0,789.5104
056_2.csv,056,1,720.5576
057_0.csv,057,0,759.0272
057_2.csv,057,1,606.91113
058_0.csv,058,0,543.67346
058_2.csv,058,1,1744.2029
060_0.csv,060,0,706.68335
060_2.csv,060,1,934.64294
062_0.csv,062,0,637.8278
062_2.csv,062,1,584.48517
064_0.csv,064,0,828.629
064_2.csv,064,1,738.26306
065_0.csv,065,0,391.52597
065_2.csv,065,1,645.3899
066_0.csv,066,0,1182.6367
069_0.csv,069,0,744.4944
069_2.csv,069,1,764.70337
070_2.csv,070,1,707.13635
071_0.csv,071,0,765.8185
071_2.csv,071,1,2.8284326
